"date","close","open","high","low","volume","sma"
"26.02.2021",237.76,244.63,244.9,237.65,"17.47M",166.54932
"25.02.2021",240.18,250.02,250.3,240.1,"17.97M",166.49462
"24.02.2021",250.34,252,252,248.1,"12.83M",166.43799
"23.02.2021",252.75,247.98,254.9,241.69,"15.98M",166.37345
"22.02.2021",254,257.99,259.39,254,"14.40M",166.30695
"19.02.2021",263.59,266.05,269.39,262.85,"14.72M",166.23939
"18.02.2021",264.51,264.96,266.14,262.33,"15.38M",166.16433
"17.02.2021",270.83,270.89,272.32,267.81,"12.99M",166.08845
"16.02.2021",270.7,271,274.29,270.4,"16.57M",166.00757
"12.02.2021",267.85,269.09,270.25,265.68,"9.36M",165.92666
"11.02.2021",268.93,268.75,274.26,267.2,"15.00M",165.84783
"10.02.2021",267.79,268.7,270.4,264.6,"12.86M",165.76805
"09.02.2021",266.49,263,267.2,262.54,"12.30M",165.68902
"08.02.2021",262.59,264.98,265,261.82,"10.52M",165.61088
"05.02.2021",265.67,264.61,266.45,263.21,"11.02M",165.53565
"04.02.2021",266.96,269.5,269.7,265.57,"16.76M",165.4579
"03.02.2021",263.43,264.79,268.14,261.33,"29.18M",165.37904
"02.02.2021",254.5,264.45,264.45,254.2,"30.53M",165.30279
"01.02.2021",264.69,257.74,264.99,255.33,"15.29M",165.23338
"29.01.2021",253.83,256.03,258.9,252.3,"14.69M",165.15592
"28.01.2021",260.76,259.39,261.55,257.47,"10.24M",165.0868
"27.01.2021",260.25,265,265.82,260,"16.05M",165.01218
"26.01.2021",265.92,263.74,265.92,261.16,"14.68M",164.93783
"25.01.2021",261.38,263.9,265.12,257.85,"19.48M",164.85894
"24.01.2021",258.62,258.62,258.62,258.62,"-",164.78347
"22.01.2021",258.62,256.8,260.33,255.5,"13.52M",164.71005
"21.01.2021",260,264.13,264.6,257.9,"20.71M",164.63651
"20.01.2021",265.49,267.5,269,262.7,"44.64M",164.56177
"19.01.2021",251.65,249.62,252.88,247,"23.68M",164.48261
"15.01.2021",243.46,246.25,246.99,242.15,"21.56M",164.41419
"14.01.2021",242.98,245.5,245.7,241.53,"31.38M",164.3521
"13.01.2021",235.3,229.79,240.45,226.3,"38.81M",164.29028
"12.01.2021",225.6,227.37,229.61,225.25,"19.04M",164.23441
"11.01.2021",227.37,229.42,230.74,225.98,"23.04M",164.18609
"10.01.2021",236.19,236.19,236.19,236.19,"-",164.1363
"09.01.2021",236.19,236.19,236.19,236.19,"-",164.07948
"08.01.2021",236.19,227.88,238.5,227.61,"34.88M",164.02257
"07.01.2021",226.9,229.03,229.9,220.13,"49.36M",163.96556
"06.01.2021",227.61,234.99,238.25,225.99,"37.15M",163.91581
"05.01.2021",240.4,228.17,240.73,228.17,"35.82M",163.86542
"04.01.2021",227.85,226.68,230.24,225.05,"24.90M",163.80482
"31.12.2020",232.73,237.46,238.92,231.03,"23.45M",163.75407
"30.12.2020",238.39,242.35,242.41,234.66,"44.81M",163.69937
"29.12.2020",236.26,231.51,239.13,229.85,"69.72M",163.6401
"28.12.2020",222.36,216.84,224.91,215.37,"73.51M",163.58241
"24.12.2020",222,228.24,229.9,211.23,"141.83M",163.53569
"23.12.2020",256.18,255.23,257.34,252.54,"10.73M",163.48918
"22.12.2020",255.83,257.73,258.34,255.43,"11.49M",163.41538
"21.12.2020",260.43,254.84,260.44,254.54,"10.90M",163.34175
"18.12.2020",260,263.9,264.9,259.2,"15.98M",163.26432
"17.12.2020",264.43,264.82,264.82,260.38,"14.31M",163.18712
"16.12.2020",261.89,257.76,263.18,257.32,"15.80M",163.10625
