"date","close","open","high","low","volume","sma"
"26.02.2021",1638.11,1636.03,1660,1575,"765.07K",485.47059
"25.02.2021",1613.06,1690,1728.14,1596.68,"699.69K",484.5819
"24.02.2021",1714,1769.3,1784,1699.53,"683.32K",483.71116
"23.02.2021",1775.79,1700.89,1776.48,1661.2,"710.80K",482.76113
"22.02.2021",1788.82,1870.95,1878,1785,"738.29K",481.76188
"19.02.2021",1910.39,1891.09,1955.74,1891.09,"475.67K",480.75101
"18.02.2021",1891.09,1843.44,1891.09,1842.81,"339.20K",479.64447
"17.02.2021",1890.25,1915.36,1915.36,1841,"431.17K",478.55118
"16.02.2021",1939.87,1964.49,2002.01,1929.36,"379.84K",477.45684
"12.02.2021",1943,1934.15,1947.94,1880,"308.53K",476.3223
"11.02.2021",1942.25,1933,1955,1910.67,"376.59K",475.18358
"10.02.2021",1905.27,1881.14,1926.83,1865.55,"339.40K",474.04367
"09.02.2021",1878,1885.14,1894.71,1868.7,"341.43K",472.93074
"08.02.2021",1900.89,1943.06,1948,1869.21,"475.09K",471.8373
"05.02.2021",1918.13,1912.88,1938.5,1895.73,"306.39K",470.72433
"04.02.2021",1893.35,1879.69,1910.89,1870.32,"370.09K",469.59619
"03.02.2021",1870.52,1926.25,1926.25,1863.6,"319.64K",468.48562
"02.02.2021",1909.99,1921.11,1933,1855,"464.83K",467.39113
"01.02.2021",1896.79,1812.63,1900,1812.63,"606.60K",466.2641
"29.01.2021",1779.51,1799.51,1833.16,1744.15,"694.82K",465.14563
"28.01.2021",1844.73,1751.99,1850,1750.61,"639.88K",464.11718
"27.01.2021",1718.7,1796.59,1828.3,1707.86,"1.02M",463.03604
"26.01.2021",1807.74,1898.66,1901.18,1781.34,"713.73K",462.05197
"25.01.2021",1880,2009.67,2012.09,1868,"587.52K",460.99653
"22.01.2021",1965.05,1953.27,1971.77,1903.28,"515.84K",459.88272
"21.01.2021",1940.19,2019.88,2019.88,1910,"618.35K",458.70034
"20.01.2021",1984.34,1948.76,1990.78,1930.75,"639.43K",457.53564
"19.01.2021",1913.21,1895.05,1925.41,1861,"707.48K",456.33438
"15.01.2021",1851.78,1860.01,1877.11,1805.46,"534.97K",455.18724
"14.01.2021",1852.53,1823.75,1885,1819.95,"547.04K",454.08669
"13.01.2021",1798.19,1830,1830,1771.33,"506.72K",452.98382
"12.01.2021",1810.09,1783.5,1843.99,1783.5,"616.45K",451.92209
"11.01.2021",1761.55,1714.51,1793.41,1675,"599.70K",450.84929
"08.01.2021",1719,1623.84,1719.26,1612.83,"737.46K",449.81316
"07.01.2021",1597.97,1615.4,1618.02,1575,"1.17M",448.80906
"06.01.2021",1571.98,1621.13,1623.89,1566.03,"585.04K",447.89919
"05.01.2021",1650,1649.37,1701.98,1647.9,"530.45K",447.00848
"04.01.2021",1640,1675,1720,1613.88,"851.12K",446.05448
"31.12.2020",1675.22,1718.59,1718.59,1660.9,"254.47K",445.1069
"30.12.2020",1712.94,1694.99,1722.94,1662,"304.39K",444.12985
"29.12.2020",1673.49,1685,1685.13,1642.57,"278.38K",443.12126
"28.12.2020",1663.72,1696.34,1696.34,1630,"286.04K",442.14244
"24.12.2020",1690.48,1672,1694.48,1665.9,"132.84K",441.16985
"23.12.2020",1670.01,1729.26,1735.39,1667.01,"418.10K",440.17438
"22.12.2020",1732.39,1718,1734.48,1704.39,"309.84K",439.19365
"21.12.2020",1697.89,1712.8,1726.68,1670,"457.18K",438.16157
"18.12.2020",1723.68,1697.66,1727.97,1676.38,"531.93K",437.1554
"17.12.2020",1679.99,1683.67,1690.82,1661.62,"375.78K",436.127
"16.12.2020",1669.54,1670,1675.23,1640,"512.29K",435.13191
"15.12.2020",1668.99,1644.79,1676.88,1644.79,"528.69K",434.14359
"14.12.2020",1618.06,1624.48,1638,1611.79,"479.75K",433.15413
"11.12.2020",1606.63,1597,1606.63,1572.03,"479.29K",432.20393
"10.12.2020",1589.52,1531.55,1598,1512.6,"446.29K",431.26137
"09.12.2020",1536.54,1609.47,1609.47,1519.66,"858.27K",430.33104
"08.12.2020",1615.88,1582.11,1625.69,1576.56,"401.50K",429.44181
"07.12.2020",1575.6,1562.63,1588.59,1554.98,"358.92K",428.48731
"04.12.2020",1557.38,1566.83,1566.83,1529,"290.94K",427.56371
"03.12.2020",1560.34,1536,1568.18,1536,"402.87K",426.6533
"02.12.2020",1522.86,1507.23,1524.58,1485.99,"468.54K",425.73904
"01.12.2020",1521.66,1556.04,1577,1516.55,"558.17K",424.85355
"30.11.2020",1553.33,1529.51,1558.26,1475.85,"693.00K",423.9676
"27.11.2020",1513.43,1480,1519.18,1463.27,"286.80K",423.05462
"25.11.2020",1480.36,1447.91,1484.22,1445,"489.44K",422.17244
"24.11.2020",1439.28,1452.97,1458,1403,"586.30K",421.3156
"23.11.2020",1451.77,1430.26,1458.04,1417.19,"640.61K",420.49067
"20.11.2020",1416.99,1372.93,1423.97,1365.58,"615.53K",419.65427
"19.11.2020",1370.3,1325.08,1383.96,1315.61,"485.09K",418.84475
"18.11.2020",1318.09,1308.99,1326.36,1294.24,"498.59K",418.07184
"17.11.2020",1300.81,1289.95,1311.89,1287.23,"400.09K",417.34011
"16.11.2020",1286.31,1286.5,1311.9,1278.38,"445.84K",416.62126
"13.11.2020",1301.66,1321.73,1335.46,1285.46,"446.17K",415.91305
"12.11.2020",1296,1325,1354.59,1295,"631.94K",415.19117
"11.11.2020",1304.49,1268.56,1336.36,1268.56,"700.13K",414.47272
"10.11.2020",1226.03,1322.53,1324.98,1219.49,"1.03M",413.74618
"09.11.2020",1330.72,1441.61,1441.61,1330,"961.95K",413.08255
"06.11.2020",1485.86,1433.98,1490.67,1395.68,"567.82K",412.33223
"05.11.2020",1437.8,1403.76,1458.99,1376,"902.25K",411.45373
"04.11.2020",1315.69,1281.99,1321,1280,"610.12K",410.61315
"03.11.2020",1233.97,1220,1242.77,1196.63,"334.83K",409.87129
"02.11.2020",1215.86,1229.45,1252,1192.14,"406.89K",409.19524
"30.10.2020",1214.05,1279.41,1292.78,1195.01,"620.50K",408.53296
"29.10.2020",1300.98,1282.67,1313.58,1269.62,"394.77K",407.87107
"28.10.2020",1273.59,1245,1284.49,1242.15,"325.09K",407.1366
"27.10.2020",1282.47,1286.95,1286.95,1268.92,"328.20K",406.42347
"26.10.2020",1281.44,1316.11,1326.99,1257.14,"346.79K",405.70185
"23.10.2020",1312.16,1300.01,1312.67,1282.74,"262.07K",404.97989
"22.10.2020",1294.32,1299,1312.95,1271.06,"377.44K",404.23139
"21.10.2020",1299.13,1339.74,1373.54,1286.77,"708.25K",403.49639
"20.10.2020",1333.66,1298,1378.11,1295.01,"741.96K",402.7562
"19.10.2020",1284.05,1276.14,1298.8,1266.78,"645.13K",401.98622
"16.10.2020",1271.38,1269.89,1280.52,1258.05,"363.86K",401.25603
"15.10.2020",1257.89,1206,1261.4,1206,"468.18K",400.53514
"14.10.2020",1238.7,1282.94,1283.7,1218.32,"605.76K",399.82423
"13.10.2020",1269.17,1217,1279.76,1205,"583.49K",399.12807
"12.10.2020",1215.75,1222,1239,1202,"542.21K",398.40544
"09.10.2020",1199.84,1165.13,1202.99,1162.8,"455.36K",397.72602
"08.10.2020",1160.37,1162.98,1172,1150.72,"448.23K",397.0587
"07.10.2020",1145,1104.38,1148.64,1094.86,"555.89K",396.42314
"06.10.2020",1091.39,1086.79,1116.65,1085.01,"412.66K",395.79932
"05.10.2020",1090.58,1087.16,1095.11,1082,"315.15K",395.21918
"02.10.2020",1079.33,1083.55,1105,1063.7,"405.61K",394.63875
"01.10.2020",1115.34,1097,1117.82,1097,"424.26K",394.06674
"30.09.2020",1082.48,1092,1097.5,1078.49,"348.15K",393.46367
"29.09.2020",1082.87,1090,1090,1069.44,"235.34K",392.88709
"28.09.2020",1093.43,1100.62,1100.62,1072,"472.57K",392.30921
"25.09.2020",1062,1034.06,1068.39,1018.41,"419.54K",391.72152
"24.09.2020",1034.63,1004.26,1046.37,987.56,"553.81K",391.1592
"23.09.2020",1020.96,1070.41,1070.41,1011.42,"547.41K",390.61893
"22.09.2020",1060.97,1020.66,1061.32,1014.72,"626.92K",390.08923
"21.09.2020",1011.99,984.39,1012.14,966.74,"403.20K",389.52499
"18.09.2020",998.06,987.03,1005.55,970.85,"609.70K",389.00103
"17.09.2020",980.15,980,993.05,960,"737.99K",388.48792
"16.09.2020",1003,1035,1047.42,1001.09,"463.30K",387.98905
"15.09.2020",1029.99,1044,1044,1015.45,"451.33K",387.47005
"14.09.2020",1036.77,1062.71,1063.99,1030.11,"449.43K",386.92738
"11.09.2020",1032.98,1046.35,1055,1015.49,"405.35K",386.37806
"10.09.2020",1040.99,1076.84,1090,1030.38,"689.06K",385.83102
"09.09.2020",1057.34,1060.65,1070.09,1030.1,"667.94K",385.27627
"08.09.2020",1022.53,1020,1075.62,1014.78,"714.16K",384.70673
"04.09.2020",1083.38,1085.01,1102.29,1000,"899.67K",384.16574
"03.09.2020",1087.12,1168,1168,1068.79,"1.10M",383.57218
"02.09.2020",1195.96,1220,1221.78,1174,"717.68K",382.97444
"01.09.2020",1209.26,1200,1222.68,1195.63,"667.35K",382.28312
"31.08.2020",1168.59,1171.34,1174.59,1129.98,"706.30K",381.57931
"28.08.2020",1178.9,1208.01,1220.06,1172.86,"587.37K",380.90894
"27.08.2020",1201.4,1225.08,1225.08,1199.04,"253.56K",380.22864
"26.08.2020",1215.93,1228.06,1243.93,1210.25,"463.55K",379.52799
"25.08.2020",1224,1209.53,1233.05,1209.53,"274.47K",378.81372
"24.08.2020",1212.09,1221,1231,1200.01,"278.95K",378.09134
"21.08.2020",1202.28,1211,1221.06,1200,"291.36K",377.37791
"20.08.2020",1218.3,1196.77,1221.04,1196.77,"252.93K",376.67166
"19.08.2020",1212.45,1213.84,1228,1198,"411.75K",375.95047
"18.08.2020",1208.64,1190.48,1220.98,1184,"443.15K",375.23306
"17.08.2020",1189.87,1171.76,1197.59,1165.01,"427.83K",374.51769
"14.08.2020",1156.44,1171.65,1172.49,1145,"351.17K",373.81722
"13.08.2020",1157.05,1125,1161.5,1125,"839.28K",373.14428
"12.08.2020",1111.64,1117.42,1138.97,1101.22,"566.65K",372.46966
"11.08.2020",1100.01,1128.7,1145,1099.54,"670.45K",371.833
"10.08.2020",1124.31,1260.33,1260.33,1090,"1.10M",371.20526
"07.08.2020",1193.97,1218,1235,1162.31,"878.19K",370.55547
"06.08.2020",1219.96,1239.88,1246.01,1201.14,"423.95K",369.8444
"05.08.2020",1225.45,1193.61,1232.93,1186.06,"620.17K",369.10965
"04.08.2020",1173.93,1171.32,1175,1152,"396.39K",368.36887
"03.08.2020",1172.62,1134.47,1181.99,1134.47,"521.59K",367.67141
"31.07.2020",1124.62,1147.11,1150.82,1085.15,"726.54K",366.97388
"30.07.2020",1107.5,1096.24,1131.01,1076.42,"781.79K",366.31677
"29.07.2020",1086.91,1060.68,1095.34,1053.75,"475.52K",365.67339
"28.07.2020",1039.56,1058,1065,1039.56,"298.04K",365.04677
"27.07.2020",1070.44,996.68,1079.94,996.68,"563.19K",364.46023
"24.07.2020",988.99,968.03,1002.47,952.22,"449.65K",363.84581
"23.07.2020",982.3,1022.09,1033,977.21,"379.66K",363.30125
"22.07.2020",1019.39,1031.4,1045.1,1006,"341.90K",362.76159
"21.07.2020",1018.9,1059.99,1059.99,1013.39,"405.04K",362.18861
"20.07.2020",1024.81,980.34,1029.93,975,"424.87K",361.61507
"17.07.2020",964.72,964.62,972.95,941.44,"303.03K",361.03535
"16.07.2020",956.62,956.15,963.35,946,"329.73K",360.50719
"15.07.2020",971.63,978.28,987.18,956.8,"512.96K",359.9852
